대업종,구분,2004년 사고재해자수,2005년 사고재해자수,2006년 사고재해자수,2007년 사고재해자수,2008년 사고재해자수,2009년 사고재해자수,2010년 사고재해자수,2011년 사고재해자수,2012년 사고재해자수,2013년 사고재해자수,2014년 사고재해자수,2015년 사고재해자수,2016년 사고재해자수,2017년 사고재해자수,2018년 사고재해자수,2019년 사고재해자수,2020년 사고재해자수
금융및보험업,금융및보험업,468,480,487,443,476,422,431,382,356,317,288,258,254,236,301,337,258
광  업,석탄광업및채석업,164,110,102,115,88,88,74,69,69,64,24,34,42,39,28,28,17
광  업,석회석·금속·비금속광업및기타광업,255,227,206,178,192,160,165,149,144,134,127,111,124,119,167,158,124
제조업,식료품제조업,1991,2099,2107,1897,2137,2087,2299,2008,2068,2090,2089,2033,2031,2030,2388,2638,2621
제조업,섬유및섬유제품제조업,1781,1587,1445,1251,1232,1204,1285,1186,1099,1038,1051,935,972,878,951,922,853
제조업,목재및종이제품제조업,2085,2047,2044,1889,2019,1889,1938,1802,1674,1575,1636,1545,1472,1364,1453,1451,1339
제조업,출판·인쇄·제본또는인쇄물가공업,637,652,655,572,609,614,592,526,508,467,433,403,405,343,399,384,386
제조업,화학및고무제품제조업,3444,3451,3231,3055,3257,3120,3195,3363,3144,2930,2888,2594,2696,2472,2654,2675,2556
제조업,의약품·화장품·연탄·석유제품제조업,229,214,227,183,203,215,201,183,190,153,144,152,182,171,225,256,252
제조업,기계기구·금속·비금속광물제품제조업,17203,16920,16436,15603,16672,15031,15874,15170,14880,13495,12886,12115,11417,11086,11626,11842,11380
제조업,금속제련업,91,102,74,74,61,65,111,96,70,108,95,74,73,58,88,106,90
제조업,전기기계기구·정밀기구·전자제품제조업,2034,1988,1825,1679,1737,1634,1877,1748,1713,1624,1557,1360,1250,1228,1317,1413,1475
제조업,선박건조및수리업,1649,1710,1684,1563,1967,2123,1760,1511,1385,1226,1349,1404,1320,932,764,961,1151
제조업,수제품및기타제품제조업,1886,1798,1819,1664,1851,1771,1741,1746,1636,1499,1441,1309,1324,1103,1093,1036,1024
전기·가스·증기및수도사업,전기·가스·증기및수도사업,112,109,100,107,87,99,76,78,85,69,91,88,94,74,96,97,87
건설업,건설업,18856,15954,17577,18419,20088,20267,21885,22187,22679,22892,22935,24287,25701,24718,26486,25298,24617
운수·창고 및 통신업,철도·항공·창고·운수관련서비스업,1910,1970,2089,2000,2078,1905,1974,1996,1886,1842,1860,1741,1639,1667,2068,2123,2024
운수·창고 및 통신업,육상및수상운수업,2350,2136,2095,1894,1910,1815,1797,1727,1745,1805,1779,1831,1932,2097,2505,3143,4274
운수·창고 및 통신업,통신업,396,312,315,272,335,320,296,234,280,261,233,179,202,144,204,198,206
임  업,임업,884,1031,1113,1258,1616,2921,2091,1934,1779,1921,1676,1593,1400,1093,1018,985,1004
어  업,어업,84,44,52,57,67,59,63,66,56,55,74,55,39,56,59,58,44
농  업,농업,357,387,442,394,489,575,618,535,563,598,595,619,701,529,603,599,593
기타의사업,시설관리및사업지원서비스업,7143,7780,7537,7313,8028,10047,9172,8061,7650,7852,7052,6688,6442,5556,7285,7570,7383
기타의사업,기타의각종사업,1930,1812,1959,1966,2025,2226,2421,1717,1865,1469,1378,1230,1305,1236,1554,1633,1454
기타의사업,해외파견자,1,7,9,10,21,23,13,22,38,44,39,51,36,38,19,27,13
기타의사업,전문·보건·교육·여가관련서비스업,3277,3704,4045,4153,4665,5227,5438,4941,4939,5470,5473,5349,5272,4500,5635,6220,6006
기타의사업,도소매·음식·숙박업,8346,9067,9776,10451,11960,12977,13248,12341,12020,12813,13655,13778,14086,14023,16389,17816,16834
기타의사업,부동산업및임대업,128,154,165,163,142,167,154,218,223,191,151,183,155,168,195,228,213
기타의사업,국가및지방자치단체의사업,0,0,0,0,0,0,0,0,0,156,192,179,185,2673,3231,3798,4073
기타의사업,주한미군,0,64,59,52,60,49,53,49,40,39,40,32,29,34,31,47,32
