연령,남자인구수(명),여자인구수(명)
100세 이상,1036,5538
99세,894,4421
98세,1002,4260
97세,1383,6520
96세,2004,9810
95세,3332,14443
94세,4910,20284
93세,7485,27285
92세,9269,34265
91세,12216,40560
90세,17990,52819
89세,23448,63212
88세,30936,75669
87세,40724,92519
86세,50047,105262
85세,59950,115886
84세,69273,124916
83세,83548,142876
82세,92145,149862
81세,103297,158593
80세,131830,190631
79세,139392,193120
78세,123037,170083
77세,134795,174044
76세,121659,147456
75세,180142,217159
74세,189822,221187
73세,192749,222228
72세,206186,234299
71세,187186,210987
70세,239155,264132
69세,243103,267002
68세,253067,275602
67세,323428,349021
66세,317413,337248
65세,340962,356398
64세,368627,377488
63세,387362,401224
62세,427493,449110
61세,456630,472865
60세,400510,402889
59세,442643,432648
58세,378333,375621
57세,416332,417484
56세,416847,409309
55세,409838,407225
54세,418094,425016
53세,467274,468532
52세,447788,441204
51세,468267,456879
50세,452613,436056
49세,447291,438331
48세,439415,429442
47세,405871,393844
46세,385452,374263
45세,380820,362300
44세,383523,369423
43세,389359,374254
42세,427407,407578
41세,430931,406684
40세,431460,408323
39세,403441,380761
38세,369953,345114
37세,344828,317518
36세,347474,317535
35세,337274,310237
34세,334233,303751
33세,345809,307933
32세,357685,313210
31세,360122,319557
30세,391696,346223
29세,398593,346103
28세,392105,339680
27세,388369,334888
26세,385419,338849
25세,367867,332379
24세,354535,325291
23세,335163,305629
22세,336026,307135
21세,320763,291903
20세,273734,249461
19세,250653,231728
18세,246033,228852
17세,227593,212270
16세,222922,207685
15세,232561,218518
14세,246816,232600
13세,230005,216641
12세,226998,213369
11세,244558,231430
10세,240367,226976
9세,234824,223785
8세,221005,210391
7세,225122,214532
6세,218701,208901
5세,197183,187156
4세,177861,168534
3세,163693,154956
2세,148410,141079
1세,138465,131669
0세,132516,125929
